TipoArticulo,Anhada,Partida,Raza,Alimentacion,NumeroSerieLc,AcidoOleico,AcidoPalmitico,AcidoEstearico,AcidoLinoleico,PesoVarios,Pesovientres,PesoCerdos,PesoNetoCanal,Nacimiento,CodigoMatadero,NroAnimales,PesoEntrada,TipoPesada,PesoSalida,DescripcionArticulo,FechaEntrada,FechaSalida
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071545204,0,0,0,0,0,0,0,0,,1,153,17.62,Individual,7.56,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071545495,0,0,0,0,0,0,0,0,,1,153,17,Individual,6.94,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071439350,0,0,0,0,0,0,0,0,,1,153,17.62,Individual,7.56,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069451739,0,0,0,0,0,0,0,0,,1,153,18,Individual,7.94,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071546362,0,0,0,0,0,0,0,0,,1,153,17.62,Individual,7.56,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071546980,0,0,0,0,0,0,0,0,,1,153,17.92,Individual,7.86,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067116104,0,0,0,0,0,0,0,0,,1,153,17.84,Individual,7.78,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071439107,0,0,0,0,0,0,0,0,,1,153,17.84,Individual,7.8,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071473866,0,0,0,0,0,0,0,0,,1,153,17.56,Individual,7.5,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071474610,0,0,0,0,0,0,0,0,,1,153,18.1,Individual,8.04,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071545693,0,0,0,0,0,0,0,0,,1,153,17.48,Individual,7.48,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071547291,0,0,0,0,0,0,0,0,,1,153,7.38,Individual,7.32,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067116173,0,0,0,0,0,0,0,0,,1,153,17.92,Individual,7.86,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067116890,0,0,0,0,0,0,0,0,,1,153,17.4,Individual,7.34,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069450398,0,0,0,0,0,0,0,0,,1,153,17.62,Individual,7.56,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069450473,0,0,0,0,0,0,0,0,,1,153,17.74,Individual,7.68,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067117286,0,0,0,0,0,0,0,0,,1,153,18.1,Individual,8.04,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067117729,0,0,0,0,0,0,0,0,,1,153,18.02,Individual,7.94,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069449453,0,0,0,0,0,0,0,0,,1,153,17.44,Individual,7.36,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069451722,0,0,0,0,0,0,0,0,,1,153,17.62,Individual,7.54,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071544597,0,0,0,0,0,0,0,0,,1,153,17.72,Individual,7.66,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067116494,0,0,0,0,0,0,0,0,,1,153,17.44,Individual,7.3,JAMàN DE CEBO DE CAMPO IBRICO,2021-10-05 00:00:00.000,2022-02-14 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071546287,0,0,0,0,0,0,0,0,,1,153,17.42,Individual,7.24,JAMàN DE CEBO DE CAMPO IBRICO,2021-10-05 00:00:00.000,2022-02-14 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067117231,0,0,0,0,0,0,0,0,,1,153,18.12,Individual,7.94,JAMàN DE CEBO DE CAMPO IBRICO,2021-10-05 00:00:00.000,2022-02-14 00:00:00.000
